Reasons,Count,Percentage
YouTube's Community Guidelines.,0,0.0
Video unavailable,3,0.0009914077990746861
Private video,0,0.0
YouTube's Terms of Service.,0,0.0
YouTube's policy on nudity or sexual content.,0,0.0
"YouTube's policy on spam, deceptive practices, and scams.",0,0.0
Terminated account,4,0.0013218770654329147
Removed by uploader,0,0.0
Terminated account due to copyright infringement,1,0.00033046926635822867
