id,mail
UChFt_sbmy5DX15GPeqWr73w,false
UCrfnhIalN_slWiUEg5r588Q,true
UCYx5Fnqws-zRmuBQMy5kUeA,false
UCNZQ8bDdOl3DQ5B9GSw7sNw,false
UCd9g58qzd3TS_5WB4zKqNsA,false
UCzv1xDJ3Q2PNY68xL0lSGog,false
UCWyOeMB7Vp4ii1qXkyoyNGQ,false
UCgw36rLk7ylKelo-aisAEAg,false
UCP36itunkuNWoGSbGyd3kHw,false
UCli0urGBIeBxlMJuwFnbmuQ,false
UCPkiOcDtHWZtlTilespn2xA,false
UCFuPSIZ-o3FeI7lG62LLmSg,true
UCVmiN4HMG9sc4Em5F0jGR_A,true
UCsmHqTkPx9modsqcL5J9hUg,false
UCbr68WEJ3e1W5NHIPL5RR3g,true
UCxB_KaKhlYG_o5wEKJYNr_A,false
UCGmwjdVPreAXW0NfBqSSYfw,false
UCreSJmU8utwY-kF_TRAwnWQ,false
UCDGBHWphU5n9ISc9QfGb_Ug,false
UCFbGqIaWIqk82dpu0uEYX-Q,true
UCqjvNcLjhQH9ylSzmJBzhJA,true
UC_cMe_KH6PbKh51OmRVVyqA,false
UCjHxmKEZVuf75jFc9oRVk_w,true
UC6I6WaljvnH6hsfErd-Ebew,true
UCz0nD84-6FTFWGS9MAT0oQQ,false
UCUeUUFK2xI8zXT_ureim3Bw,false
UCdBRRDF8PiUeOka5Q7V2nHA,false
UC0fPuRU5fsyhBsXM3lhPFZg,true
UCcv6qkluKQRBmi7PZrh9img,true
UCWbMcuiNT18DDyNn-iX8Ing,true
UCXYni4BNbPv-2xXEX7KjjDw,false
UCsnA-YsBmr9niszHPuemCnw,false
UC2jI1MhYqtdFpvOfrwqj-Bg,false
UC7bhRntiK4KyYpx6Jw22rgA,false
UCRtYTqmiX6Ul9wIwGw3y3OA,false
UCJdcwVhLwkVPkrildpdXixQ,false
UC-x0BxAq_STsdGSg_kbrLvA,false
UCl8hrY7iGNpiigKR2tdTQ8w,false
UCMtL4buTHs1W0uLEmByf8wQ,false
UCnZrjucYjaXKUx8rD3qOBlw,true
UCgtw6ik2gXRPiROCqNPve3A,false
UCc2a-EQcBbsHgSMTsr983gA,true
UCiJRKD3r4M23mHUhM6ro8iQ,true
UCdH_gd_-X8DAZOYyWrssZBQ,false
UC_6dOZDKErrAtKMHBCGOEhg,false
UCymxonPm7jMKsbqcydJD0rA,false
UCwTee6jGG-AhD9s57U6G9Ug,false
UCkkkiLEY93il3NA_ECZHAag,true
UCimgFtU9Qz5Pr8rQn90f88g,false
UCMNmwqCtCSpftrbvR3KkHDA,true
UCn9EI5qeV8nwS3I9TEMCRLg,true
UCLq_SYAsBOAHmWE6CoGzaTw,true
UCgLwTbHdxcX6gfgANwiQzfA,false
UC-9Kmk6Nt_xF-lRcMhI8hKQ,true
