id,instagram,twitter,facebook,spotify,twitch,patreon,vk,plus.google,play.google,steam,myspace,merchandise
UCILpTOgb9WA56kXGPN7FpNg,0,0,0,0,0,0,0,0,0,0,0,0
UCgas44PVtblNwaYZMmePjFw,0,0,0,0,0,0,0,0,0,0,0,0
UCtyJBLT_DOswO3YXmRmoTtw,0,0,1,0,0,0,0,0,0,0,0,0
UCrSvhrtUgpZT3EU0x1Zoy-w,1,1,1,0,0,0,0,0,0,0,0,0
UCw51YmYfYkCkisl9kAVAtUA,0,0,0,0,0,0,0,0,0,0,0,0
UCezigxVj-1apEoLHk4ah-2Q,1,0,0,1,0,0,0,0,0,0,0,0
UC-8clJQZkrg3qdqsvzcxbzA,0,1,0,0,0,0,0,0,0,0,0,0
UCw2PrdOWEfcxIlT1bzj0YXg,1,0,0,0,0,0,0,0,0,0,0,0
UCby5ZKyxiSW3dz_Kg5VDU9w,0,1,1,0,0,1,1,0,0,0,0,0
UCJ-4K4911cLZMNEZLnxnpIg,1,0,0,0,1,0,0,0,0,0,0,0
UC_JkjxMkPAK-WZ2tA9W8q-A,1,1,0,0,0,0,0,0,0,0,0,0
UCzRhGhDTdA_RR8NtG6LzneQ,0,0,0,0,0,0,0,0,0,0,0,0
UCcujVfXqz3KCVdOX-W919HA,0,0,0,0,0,0,0,0,0,0,0,0
UCm6CzMdSu3zaGfjs9yTcUsQ,0,0,0,0,0,0,0,0,0,0,0,0
UCMnR3mQfJ70trn7b9F-qnxw,0,1,0,0,0,0,0,0,0,0,0,0
UC48vISqkp1iuUvq6bN7Ar8w,0,0,0,0,0,0,0,0,0,0,0,0
UC-XHp8A93LmCnsQSXFxGyUw,0,0,0,0,0,0,0,0,0,0,0,0
UCExlOjz0OJhOD_eO1DOId6Q,0,1,1,0,0,1,0,0,0,0,0,0
UC3FVzXjav0fvOetTn8-bkzA,0,1,1,0,0,0,0,0,0,0,0,0
UCWavEnPs5snAaSnH6FHndaw,0,0,0,0,0,0,0,0,0,0,0,0
UC4g8s1ssMZVISgVf7BnnQeQ,1,1,1,0,0,0,0,0,0,0,0,0
UCApwcZw_xawOTzQFoYVOJmw,1,1,0,0,1,0,0,0,0,0,0,0
UCDqh1ZbMxh1yraCq5QfH65g,1,1,0,0,0,0,0,0,0,0,0,0
UC50iz5aJP46T5n7gGgGMBTQ,1,0,1,0,0,0,0,0,0,0,0,0
UCZlXWfndRF4PWcemogYeu2g,0,1,0,0,0,0,0,0,0,0,0,0
UCni_-0jzMkB9zHU8YUqvNnA,0,1,0,0,0,1,0,0,0,0,0,0
UCzeB_0FNcPIyUSjL_TL5lEw,1,1,1,0,1,0,0,0,0,0,0,0
UCiuqfsMPDQaSaGgw1o96XrQ,1,1,1,1,1,1,0,0,0,0,0,0
UCxgyw_mFxfgeQ6kZfce-NHQ,0,0,0,0,0,0,0,0,0,0,0,0
UC6RPPKcZEL_WIfkovuOBZNw,0,0,0,0,0,0,0,0,0,0,0,0
