Reasons,Count,Percentage
YouTube's Community Guidelines.,8,0.004305705059203444
Video unavailable,135,0.07265877287405813
Private video,0,0.0
YouTube's Terms of Service.,42,0.022604951560818085
YouTube's policy on nudity or sexual content.,1,0.0005382131324004305
"YouTube's policy on spam, deceptive practices, and scams.",0,0.0
Terminated account,203,0.1092572658772874
Removed by uploader,1,0.0005382131324004305
Terminated account due to copyright infringement,0,0.0
