id,mail
UCbNFUTOKtO3UOrRlVFXDzeg,FALSE
UCXCOJBk_loOVSjANGt9YNnQ,FALSE
UCKjjmMqvuxNYw8c6knceexQ,TRUE
UCkDbxGSyvOgR8UJj3m0GC6Q,TRUE
UC5SiPh4uWz88zDFbBN-Tdiw,FALSE
UCyhSNdYfvlqa5Jof41H6Jng,FALSE
UCZvEw3WF-ovUhLFtH1SKzMA,FALSE
UCxCnNU678-ANZPJLClL-X-g,FALSE
UCIIGTHiXNSpr_oQZp9N-TmQ,TRUE
UCg8GEoh4lHGCGasdXxtJlFg,FALSE
UCEnEbZnMufWAXGEo68KqvzQ,FALSE
UCAkqtSoNBNbOrNTG4LlhotA,TRUE
UCAHtekbg5FCHdquuMiqv3Yg,TRUE
UChFt_sbmy5DX15GPeqWr73w,FALSE
UCrfnhIalN_slWiUEg5r588Q,TRUE
UCYx5Fnqws-zRmuBQMy5kUeA,FALSE
UCNZQ8bDdOl3DQ5B9GSw7sNw,FALSE
UCd9g58qzd3TS_5WB4zKqNsA,FALSE
UCzv1xDJ3Q2PNY68xL0lSGog,FALSE
UCWyOeMB7Vp4ii1qXkyoyNGQ,FALSE
UCgw36rLk7ylKelo-aisAEAg,FALSE
UCP36itunkuNWoGSbGyd3kHw,FALSE
UCli0urGBIeBxlMJuwFnbmuQ,FALSE
UCPkiOcDtHWZtlTilespn2xA,FALSE
UCFuPSIZ-o3FeI7lG62LLmSg,TRUE
UCVmiN4HMG9sc4Em5F0jGR_A,TRUE
UCsmHqTkPx9modsqcL5J9hUg,FALSE
UCbr68WEJ3e1W5NHIPL5RR3g,TRUE
UCxB_KaKhlYG_o5wEKJYNr_A,FALSE
UCGmwjdVPreAXW0NfBqSSYfw,FALSE
UCreSJmU8utwY-kF_TRAwnWQ,FALSE
UCDGBHWphU5n9ISc9QfGb_Ug,FALSE
UCFbGqIaWIqk82dpu0uEYX-Q,TRUE
UCqjvNcLjhQH9ylSzmJBzhJA,TRUE
UC_cMe_KH6PbKh51OmRVVyqA,FALSE
UCjHxmKEZVuf75jFc9oRVk_w,TRUE
UC6I6WaljvnH6hsfErd-Ebew,TRUE
UCz0nD84-6FTFWGS9MAT0oQQ,FALSE
UCUeUUFK2xI8zXT_ureim3Bw,FALSE
UCdBRRDF8PiUeOka5Q7V2nHA,FALSE
UC0fPuRU5fsyhBsXM3lhPFZg,TRUE
UCcv6qkluKQRBmi7PZrh9img,TRUE
UCWbMcuiNT18DDyNn-iX8Ing,TRUE
UCXYni4BNbPv-2xXEX7KjjDw,FALSE
UCsnA-YsBmr9niszHPuemCnw,FALSE
UC2jI1MhYqtdFpvOfrwqj-Bg,FALSE
UC7bhRntiK4KyYpx6Jw22rgA,FALSE
UCRtYTqmiX6Ul9wIwGw3y3OA,FALSE
UCJdcwVhLwkVPkrildpdXixQ,FALSE
UC-x0BxAq_STsdGSg_kbrLvA,FALSE
UCl8hrY7iGNpiigKR2tdTQ8w,FALSE
UCMtL4buTHs1W0uLEmByf8wQ,FALSE
UCnZrjucYjaXKUx8rD3qOBlw,TRUE
UCgtw6ik2gXRPiROCqNPve3A,FALSE
UCc2a-EQcBbsHgSMTsr983gA,TRUE
UCiJRKD3r4M23mHUhM6ro8iQ,TRUE
UCdH_gd_-X8DAZOYyWrssZBQ,FALSE
