id,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surpise,Trust
UCezigxVj-1apEoLHk4ah-2Q,0,0,0,0,0,0,0,1
UC-8clJQZkrg3qdqsvzcxbzA,0,1,0,0,0,0,0,0
UCw2PrdOWEfcxIlT1bzj0YXg,0,0,0,0,1,0,0,0
UCby5ZKyxiSW3dz_Kg5VDU9w,1,1,0,0,1,0,0,1
UCJ-4K4911cLZMNEZLnxnpIg,0,0,0,0,0,0,0,0
UC_JkjxMkPAK-WZ2tA9W8q-A,0,0,0,0,1,0,0,1
UCzRhGhDTdA_RR8NtG6LzneQ,0,0,0,0,0,0,0,0
UCcujVfXqz3KCVdOX-W919HA,0,0,0,0,0,0,0,0
UCm6CzMdSu3zaGfjs9yTcUsQ,0,0,0,0,0,0,0,0
UCMnR3mQfJ70trn7b9F-qnxw,0,0,0,0,1,0,0,1
UC48vISqkp1iuUvq6bN7Ar8w,1,1,0,0,1,0,1,0
UC-XHp8A93LmCnsQSXFxGyUw,0,0,0,0,0,1,0,0
UCExlOjz0OJhOD_eO1DOId6Q,0,0,0,0,1,0,0,0
UC3FVzXjav0fvOetTn8-bkzA,0,0,0,0,0,0,0,0
UCWavEnPs5snAaSnH6FHndaw,0,0,0,0,0,0,1,0
UC4g8s1ssMZVISgVf7BnnQeQ,0,0,0,0,1,0,0,0
UCApwcZw_xawOTzQFoYVOJmw,0,0,0,0,0,0,0,0
UCDqh1ZbMxh1yraCq5QfH65g,0,1,0,0,1,0,0,1
UC50iz5aJP46T5n7gGgGMBTQ,0,0,0,0,1,0,0,0
UCZlXWfndRF4PWcemogYeu2g,1,1,1,0,0,0,0,0
UCni_-0jzMkB9zHU8YUqvNnA,0,0,0,0,1,0,0,0
UCzeB_0FNcPIyUSjL_TL5lEw,0,1,0,0,1,0,1,1
UCiuqfsMPDQaSaGgw1o96XrQ,0,0,0,0,0,0,0,0
UCxgyw_mFxfgeQ6kZfce-NHQ,0,0,0,0,1,0,0,0
UC6RPPKcZEL_WIfkovuOBZNw,0,1,0,0,0,0,0,0
UCqa2MPu8bLY1PwVFUpSyVhQ,0,1,0,0,1,0,0,0
UCI-XUux6eSGm_6VMZBYgFNw,1,0,0,0,1,0,0,1
UCTZnWCGgt1dLylZxMeVo4CA,0,1,0,0,1,1,0,1
UCHOYIw-v89B96xskc2kkapg,0,0,0,0,0,0,0,0
UClsDI_I7vsPFNH4a1q1Ls6Q,1,0,0,0,1,0,0,0
UC_XCPoXm0LTe5idOovptxZg,0,0,0,0,0,0,0,0
UCZTIJMCnN8UrpsZ6D5xnxfg,0,0,0,0,0,0,0,0
UCdaVCV94GjPRZ1oTBjZNhiQ,0,0,0,0,0,0,0,0
UCNC0gjftkU6yfNO7JnAXnNw,0,0,0,1,0,0,1,0
UCqSCmrKSbLZ3TN2KVvw0KPQ,0,0,0,0,1,0,1,1
UCZwEC_Qnv7stSlQilIqhSdw,0,0,0,0,1,0,0,0
UCdv0wBAnP-bKb7RaGfNSkgg,0,1,1,0,0,0,0,0
UCynXlSwTDlgZ7PZAHH-BIWw,0,0,0,0,0,0,0,0
UCu734S2oW5iriwq7XHex_yQ,0,0,0,0,1,0,0,0
UCkRH0fc91IM-uVc2AAXNfBg,0,0,0,0,0,0,0,0
UCFU9lf8r0uPjljJCJ8jTfqw,0,0,0,0,0,0,0,0
UCXV5iJSJRIShEB4_y5t5ABg,0,0,0,0,1,0,0,0
UC4rlAVgAK0SGk-yTfe48Qpw,0,1,0,0,0,0,0,1
